snake_centx,snake_centy,snake_change_x,snake_change_y,snake_choice,snake_choice_cx,snake_choice_cy,body1,body2,body3,body4,direction
250,225,-1,0,0,226,300,0,0,0,0,3
245,225,-1,0,0,226,300,0,0,0,0,3
240,225,-1,0,0,226,300,0,0,0,0,3
235,225,-1,0,0,226,300,0,0,0,0,3
230,225,-1,0,0,226,300,0,0,0,0,3
225,225,0,1,0,226,300,0,0,0,0,0
225,230,1,0,0,226,300,0,0,0,0,1
230,230,0,1,0,226,300,0,0,0,0,0
230,235,-1,0,0,226,300,0,0,0,0,3
225,235,0,1,0,226,300,0,0,0,0,0
225,240,1,0,0,226,300,0,0,0,0,1
230,240,0,1,0,226,300,0,0,0,0,0
230,245,-1,0,0,226,300,0,0,0,0,3
225,245,0,1,0,226,300,0,0,0,0,0
225,250,1,0,0,226,300,0,0,0,0,1
230,250,0,1,0,226,300,0,0,0,0,0
230,255,-1,0,0,226,300,0,0,0,0,3
225,255,0,1,0,226,300,0,0,0,0,0
225,260,1,0,0,226,300,0,0,0,0,1
230,260,0,1,0,226,300,0,0,0,0,0
230,265,-1,0,0,226,300,0,0,0,0,3
225,265,0,1,0,226,300,0,0,0,0,0
225,270,1,0,0,226,300,0,0,0,0,1
230,270,0,1,0,226,300,0,0,0,0,0
230,275,-1,0,0,135,216,0,0,0,0,3
225,275,-1,0,0,135,216,0,0,5,0,3
220,275,-1,0,0,135,216,0,0,5,0,3
215,275,-1,0,0,135,216,0,0,5,0,3
210,275,-1,0,0,135,216,0,0,5,0,3
205,275,-1,0,0,135,216,0,0,5,0,3
200,275,-1,0,0,135,216,0,0,5,0,3
195,275,-1,0,0,135,216,0,0,5,0,3
190,275,-1,0,0,135,216,0,0,5,0,3
185,275,-1,0,0,135,216,0,0,5,0,3
180,275,-1,0,0,135,216,0,0,5,0,3
175,275,-1,0,0,135,216,0,0,5,0,3
170,275,-1,0,0,135,216,0,0,5,0,3
165,275,-1,0,0,135,216,0,0,5,0,3
160,275,-1,0,0,135,216,0,0,5,0,3
155,275,-1,0,0,135,216,0,0,5,0,3
150,275,-1,0,0,135,216,0,0,5,0,3
145,275,-1,0,0,135,216,0,0,5,0,3
140,275,-1,0,0,135,216,0,0,5,0,3
135,275,0,-1,0,135,216,0,0,5,0,2
135,270,0,-1,0,135,216,5,0,5,0,2
135,265,0,-1,0,135,216,5,0,5,0,2
135,260,0,-1,0,135,216,5,0,5,0,2
135,255,0,-1,0,135,216,5,0,5,0,2
135,250,0,-1,0,135,216,5,0,5,0,2
135,245,1,0,0,296,440,5,0,5,0,1
140,245,1,0,0,296,440,5,0,5,5,1
145,245,1,0,0,296,440,5,0,5,5,1
150,245,1,0,0,296,440,5,0,5,5,1
155,245,1,0,0,296,440,5,0,5,5,1
160,245,1,0,0,296,440,5,0,5,5,1
165,245,1,0,0,296,440,5,0,5,5,1
170,245,1,0,0,296,440,5,0,5,5,1
175,245,1,0,0,296,440,5,0,5,5,1
180,245,1,0,0,296,440,5,0,5,5,1
185,245,1,0,0,296,440,5,0,5,5,1
190,245,1,0,0,296,440,5,0,5,5,1
195,245,1,0,0,296,440,5,0,5,5,1
200,245,1,0,0,296,440,5,0,5,5,1
205,245,1,0,0,296,440,5,0,5,5,1
210,245,1,0,0,296,440,5,0,5,5,1
215,245,1,0,0,296,440,5,0,5,5,1
220,245,1,0,0,296,440,5,0,5,5,1
225,245,1,0,0,296,440,5,0,5,5,1
230,245,1,0,0,296,440,5,0,5,5,1
235,245,1,0,0,296,440,5,0,5,5,1
240,245,1,0,0,296,440,5,0,5,5,1
245,245,1,0,0,296,440,5,0,5,5,1
250,245,1,0,0,296,440,5,0,5,5,1
255,245,1,0,0,296,440,5,0,5,5,1
260,245,1,0,0,296,440,5,0,5,5,1
265,245,1,0,0,296,440,5,0,5,5,1
270,245,1,0,0,296,440,5,0,5,5,1
275,245,1,0,0,296,440,5,0,5,5,1
280,245,1,0,0,296,440,5,0,5,5,1
285,245,1,0,0,296,440,5,0,5,5,1
290,245,1,0,0,296,440,5,0,5,5,1
295,245,1,0,0,296,440,5,0,5,5,1
300,245,0,1,0,296,440,5,0,5,5,0
300,250,-1,0,0,296,440,5,5,5,5,3
295,250,0,1,0,296,440,5,5,5,5,0
295,255,1,0,0,296,440,5,5,5,5,1
300,255,0,1,0,296,440,5,5,5,5,0
300,260,-1,0,0,296,440,5,5,5,5,3
295,260,0,1,0,296,440,5,5,5,5,0
295,265,1,0,0,296,440,5,5,5,5,1
300,265,0,1,0,296,440,5,5,5,5,0
300,270,-1,0,0,296,440,5,5,5,5,3
295,270,0,1,0,296,440,5,5,5,5,0
295,275,1,0,0,296,440,5,5,5,5,1
300,275,0,1,0,296,440,5,5,5,5,0
300,280,-1,0,0,296,440,5,5,5,5,3
295,280,0,1,0,296,440,5,5,5,5,0
295,285,1,0,0,296,440,5,5,5,5,1
300,285,0,1,0,296,440,5,5,5,5,0
300,290,-1,0,0,296,440,5,5,5,5,3
295,290,0,1,0,296,440,5,5,5,5,0
295,295,1,0,0,296,440,5,5,5,5,1
300,295,0,1,0,296,440,5,5,5,5,0
300,300,-1,0,0,296,440,5,5,5,5,3
295,300,0,1,0,296,440,5,5,5,5,0
295,305,1,0,0,296,440,5,5,5,5,1
300,305,0,1,0,296,440,5,5,5,5,0
300,310,-1,0,0,296,440,5,5,5,5,3
295,310,0,1,0,296,440,5,5,5,5,0
295,315,1,0,0,296,440,5,5,5,5,1
300,315,0,1,0,296,440,5,5,5,5,0
300,320,-1,0,0,296,440,5,5,5,5,3
295,320,0,1,0,296,440,5,5,5,5,0
295,325,1,0,0,296,440,5,5,5,5,1
300,325,0,1,0,296,440,5,5,5,5,0
300,330,-1,0,0,296,440,5,5,5,5,3
295,330,0,1,0,296,440,5,5,5,5,0
295,335,1,0,0,296,440,5,5,5,5,1
300,335,0,1,0,296,440,5,5,5,5,0
300,340,-1,0,0,296,440,5,5,5,5,3
295,340,0,1,0,296,440,5,5,5,5,0
295,345,1,0,0,296,440,5,5,5,5,1
300,345,0,1,0,296,440,5,5,5,5,0
300,350,-1,0,0,296,440,5,5,5,5,3
295,350,0,1,0,296,440,5,5,5,5,0
295,355,1,0,0,296,440,5,5,5,5,1
300,355,0,1,0,296,440,5,5,5,5,0
300,360,-1,0,0,296,440,5,5,5,5,3
295,360,0,1,0,296,440,5,5,5,5,0
295,365,1,0,0,296,440,5,5,5,5,1
300,365,0,1,0,296,440,5,5,5,5,0
300,370,-1,0,0,296,440,5,5,5,5,3
295,370,0,1,0,296,440,5,5,5,5,0
295,375,1,0,0,296,440,5,5,5,5,1
300,375,0,1,0,296,440,5,5,5,5,0
300,380,-1,0,0,296,440,5,5,5,5,3
295,380,0,1,0,296,440,5,5,5,5,0
295,385,1,0,0,296,440,5,5,5,5,1
300,385,0,1,0,296,440,5,5,5,5,0
300,390,-1,0,0,296,440,5,5,5,5,3
295,390,0,1,0,296,440,5,5,5,5,0
295,395,1,0,0,296,440,5,5,5,5,1
300,395,0,1,0,296,440,5,5,5,5,0
300,400,-1,0,0,296,440,5,5,5,5,3
295,400,0,1,0,296,440,5,5,5,5,0
295,405,1,0,0,296,440,5,5,5,5,1
300,405,0,1,0,296,440,5,5,5,5,0
300,410,-1,0,0,296,440,5,5,5,5,3
295,410,0,1,0,296,440,5,5,5,5,0
295,415,1,0,0,300,301,5,5,5,5,1
300,415,0,-1,0,300,301,5,5,5,5,2
300,410,0,-1,0,300,301,5,5,5,5,2
300,405,0,-1,0,300,301,5,5,5,5,2
300,400,0,-1,0,300,301,5,5,5,5,2
300,395,0,-1,0,300,301,5,5,5,5,2
300,390,0,-1,0,300,301,5,5,5,5,2
300,385,0,-1,0,300,301,5,5,5,5,2
300,380,0,-1,0,300,301,5,5,5,5,2
300,375,0,-1,0,300,301,5,5,5,5,2
300,370,0,-1,0,300,301,5,5,5,5,2
300,365,0,-1,0,300,301,5,5,5,5,2
300,360,0,-1,0,300,301,5,5,5,5,2
300,355,0,-1,0,300,301,5,5,5,5,2
300,350,0,-1,0,300,301,5,5,5,5,2
300,345,0,-1,0,300,301,5,5,5,5,2
300,340,0,-1,0,300,301,5,5,5,5,2
300,335,0,-1,0,300,301,5,5,5,5,2
300,330,-1,0,0,258,136,5,5,5,5,3
295,330,-1,0,0,258,136,5,5,5,5,3
290,330,-1,0,0,258,136,5,5,5,5,3
285,330,-1,0,0,258,136,5,5,5,5,3
280,330,-1,0,0,258,136,5,5,5,5,3
275,330,-1,0,0,258,136,5,5,5,5,3
270,330,-1,0,0,258,136,5,5,5,5,3
265,330,-1,0,0,258,136,5,5,5,5,3
260,330,-1,0,0,258,136,5,5,5,5,3
255,330,0,-1,0,258,136,5,5,5,5,2
255,325,1,0,0,258,136,5,5,5,5,1
260,325,0,-1,0,258,136,5,5,5,5,2
260,320,-1,0,0,258,136,5,5,5,5,3
255,320,0,-1,0,258,136,5,5,5,5,2
255,315,1,0,0,258,136,5,5,5,5,1
